date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:40	307/307	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Aug%202021%2009:30:40%20GMT	http://kohette.com/wpthemes/narratium	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium.0.delayed	(from )
16:30:41	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Aug%202021%2009:30:41%20GMT	http://kohette.com/robots.txt		(from )
16:30:43	79450/79450	U--MC-	200	updated ('OK')	text/html	date:Mon,%2002%20Aug%202021%2009:30:41%20GMT	http://kohette.com/wpthemes/narratium/	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/index.html	(from )
16:30:45	367879/367879	---M--	200	added ('OK')	text/css	etag:%2259d07-5b7cd34693bef%22	https://kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/angular-material.min.css?ver=5.8	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/angular-material.min41a3.css	(from http://kohette.com/wpthemes/narratium/)
16:30:45	23878/-1	---M--	200	added ('OK')	application/rss+xml	etag:%22778b0771846c7971df029fe50750f9d4%22	https://kohette.com/wpthemes/narratium/comments/feed/	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/comments/feed/index.html	(from http://kohette.com/wpthemes/narratium/)
16:30:46	65221/65221	---M--	200	added ('OK')	text/css	etag:%22fec5-5b7cd34693807%22	https://kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/base.css?ver=5.8	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/base41a3.css	(from http://kohette.com/wpthemes/narratium/)
16:30:46	31161/31161	---M--	200	added ('OK')	text/css	etag:%2279b9-5b7cd34693fd7%22	https://kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/icons.css?ver=5.8	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/icons41a3.css	(from http://kohette.com/wpthemes/narratium/)
16:30:46	291/291	---M--	200	added ('OK')	text/css	etag:%22123-5b7cd346991de%22	https://kohette.com/wpthemes/narratium/wp-content/themes/narratium/theme-features/site-ajax-animations/src/css/ajax-transitions-base.css?ver=5.8	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/wp-content/themes/narratium/theme-features/site-ajax-animations/src/css/ajax-transitions-base41a3.css	(from http://kohette.com/wpthemes/narratium/)
16:30:46	194542/-1	---M--	200	added ('OK')	application/rss+xml	etag:%228ab6231aebe76eef6031d3452209f243%22	https://kohette.com/wpthemes/narratium/feed/	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/feed/index.html	(from http://kohette.com/wpthemes/narratium/)
16:30:46	10543/10543	---M--	200	added ('OK')	text/css	etag:%22292f-5b7cd34692867%22	https://kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/template-grid.css?ver=5.8	D:/Web%20copied/Narratium/kohette.com/wpthemes/narratium/wp-content/themes/narratium/assets/stylesheets/template-grid41a3.css	(from http://kohette.com/wpthemes/narratium/)
